Time,Vm
28.409,-68.1763
28.41,-68.1763
28.411,-68.0237
28.412,-68.1763
28.413,-68.0847
28.414,-67.9932
28.415,-68.0847
28.416,-68.2678
28.417,-68.2068
28.418,-68.2373
28.419,-68.1152
28.42,-68.2678
28.421,-68.1458
28.422,-68.0847
28.423,-68.0847
28.424,-68.1152
28.425,-68.0542
28.426,-67.9932
28.427,-67.9932
28.428,-67.9932
28.429,-68.1458
28.43,-68.1458
28.431,-68.0542
28.432,-68.0847
28.433,-68.1152
28.434,-68.2068
28.435,-67.9932
28.436,-68.1458
28.437,-68.2068
28.438,-68.0237
28.439,-68.0542
28.44,-68.0237
28.441,-67.9016
28.442,-67.9626
28.443,-67.9321
28.444,-68.0847
28.445,-68.0542
28.446,-68.0237
28.447,-68.0237
28.448,-68.1763
28.449,-68.0237
28.45,-68.0237
28.451,-68.1152
28.452,-68.0542
28.453,-68.1152
28.454,-67.9626
28.455,-67.9626
28.456,-67.9932
28.457,-68.0847
28.458,-67.9932
28.459,-68.0237
28.46,-68.0237
28.461,-67.9321
28.462,-67.8711
28.463,-68.0542
28.464,-67.8406
28.465,-68.0542
28.466,-68.0847
28.467,-68.0237
28.468,-68.0847
28.469,-67.9932
28.47,-68.0237
28.471,-67.9321
28.472,-68.0542
28.473,-67.9016
28.474,-67.9626
28.475,-67.9321
28.476,-67.9321
28.477,-67.8406
28.478,-67.8711
28.479,-67.9321
28.48,-67.9016
28.481,-67.7795
28.482,-67.9626
28.483,-68.0542
28.484,-67.9016
28.485,-67.9626
28.486,-67.9016
28.487,-68.0237
28.488,-67.9626
28.489,-67.8406
28.49,-67.9016
28.491,-67.8711
28.492,-67.9932
28.493,-67.8101
28.494,-67.7795
28.495,-67.749
28.496,-67.9321
28.497,-67.8406
28.498,-67.7795
28.499,-68.0237
28.5,-68.0237
28.501,-67.9016
28.502,-67.9321
28.503,-67.8406
28.504,-67.9321
28.505,-67.8406
28.506,-67.6575
28.507,-67.9321
28.508,-67.8406
28.509,-67.8101
28.51,-67.7185
28.511,-67.7185
28.512,-67.627
28.513,-67.7795
28.514,-67.7185
28.515,-67.749
28.516,-67.8101
28.517,-67.8711
28.518,-67.8101
28.519,-67.627
28.52,-67.7795
28.521,-67.749
28.522,-67.688
28.523,-67.6575
28.524,-67.749
28.525,-67.6575
28.526,-67.5354
28.527,-67.5964
28.528,-67.6575
28.529,-67.688
28.53,-67.6575
28.531,-67.7185
28.532,-67.5049
28.533,-67.749
28.534,-67.6575
28.535,-67.5964
28.536,-67.6575
28.537,-67.6575
28.538,-67.5964
28.539,-67.5659
28.54,-67.5964
28.541,-67.5049
28.542,-67.5049
28.543,-67.4744
28.544,-67.5964
28.545,-67.5964
28.546,-67.4133
28.547,-67.5354
28.548,-67.5659
28.549,-67.627
28.55,-67.5964
28.551,-67.5659
28.552,-67.5659
28.553,-67.4133
28.554,-67.5354
28.555,-67.4133
28.556,-67.5049
28.557,-67.3828
28.558,-67.627
28.559,-67.5659
28.56,-67.4438
28.561,-67.5049
28.562,-67.4744
28.563,-67.4744
28.564,-67.3828
28.565,-67.4744
28.566,-67.5354
28.567,-67.3523
28.568,-67.5049
28.569,-67.3523
28.57,-67.4744
28.571,-67.4744
28.572,-67.4133
28.573,-67.3523
28.574,-67.3828
28.575,-67.4133
28.576,-67.3218
28.577,-67.3828
28.578,-67.4133
28.579,-67.2607
28.58,-67.2607
28.581,-67.4438
28.582,-67.2913
28.583,-67.4133
28.584,-67.3523
28.585,-67.4133
28.586,-67.3828
28.587,-67.3523
28.588,-67.3218
28.589,-67.1997
28.59,-67.3218
28.591,-67.2302
28.592,-67.3523
28.593,-67.2913
28.594,-67.2302
28.595,-67.2607
28.596,-67.2607
28.597,-67.1997
28.598,-67.4133
28.599,-67.1692
28.6,-67.4133
28.601,-67.3218
28.602,-67.3218
28.603,-67.2607
28.604,-67.3828
28.605,-67.2607
28.606,-67.2913
28.607,-67.1692
28.608,-67.1692
28.609,-67.2302
28.61,-67.1997
28.611,-67.2302
28.612,-67.1692
28.613,-67.1387
28.614,-67.1997
28.615,-67.1387
28.616,-67.0776
28.617,-67.1387
28.618,-67.1692
28.619,-67.2302
28.62,-67.1692
28.621,-67.0776
28.622,-67.1997
28.623,-67.1387
28.624,-67.1997
28.625,-66.9556
28.626,-67.1082
28.627,-67.1387
28.628,-66.9861
28.629,-66.925
28.63,-67.1387
28.631,-66.925
28.632,-67.0471
28.633,-67.0776
28.634,-67.0776
28.635,-66.9861
28.636,-66.925
28.637,-67.1082
28.638,-67.0166
28.639,-67.1082
28.64,-67.0471
28.641,-67.0471
28.642,-66.9861
28.643,-66.925
28.644,-66.864
28.645,-66.864
28.646,-66.8335
28.647,-67.1082
28.648,-66.8945
28.649,-66.9556
28.65,-66.9556
28.651,-66.803
28.652,-66.8335
28.653,-66.925
28.654,-67.0166
28.655,-66.9556
28.656,-66.8335
28.657,-66.9556
28.658,-66.864
28.659,-66.8335
28.66,-66.803
28.661,-66.7419
28.662,-66.7725
28.663,-66.6504
28.664,-66.8335
28.665,-66.8945
28.666,-66.8335
28.667,-66.7114
28.668,-66.6809
28.669,-66.7114
28.67,-66.6809
28.671,-66.6809
28.672,-66.7419
28.673,-66.7725
28.674,-66.6809
28.675,-66.5588
28.676,-66.6809
28.677,-66.6199
28.678,-66.7114
28.679,-66.5588
28.68,-66.6809
28.681,-66.5894
28.682,-66.7419
28.683,-66.6199
28.684,-66.5894
28.685,-66.7419
28.686,-66.7114
28.687,-66.5894
28.688,-66.7419
28.689,-66.5588
28.69,-66.5283
28.691,-66.4368
28.692,-66.5283
28.693,-66.5894
28.694,-66.5283
28.695,-66.5894
28.696,-66.5588
28.697,-66.4368
28.698,-66.5283
28.699,-66.4978
28.7,-66.5894
28.701,-66.6199
28.702,-66.6199
28.703,-66.5588
28.704,-66.6504
28.705,-66.4063
28.706,-66.5588
28.707,-66.4368
28.708,-66.5283
28.709,-66.5283
28.71,-66.5588
28.711,-66.5283
28.712,-66.4673
28.713,-66.4368
28.714,-66.4673
28.715,-66.4978
28.716,-66.4368
28.717,-66.5588
28.718,-66.5283
28.719,-66.5283
28.72,-66.4063
28.721,-66.4673
28.722,-66.2842
28.723,-66.4063
28.724,-66.3757
28.725,-66.3452
28.726,-66.3452
28.727,-66.2842
28.728,-66.2842
28.729,-66.3757
28.73,-66.1926
28.731,-66.3147
28.732,-66.2537
28.733,-66.4063
28.734,-66.3452
28.735,-66.3452
28.736,-66.3147
28.737,-66.4673
28.738,-66.3452
28.739,-66.2842
28.74,-66.1316
28.741,-66.3147
28.742,-66.2231
28.743,-66.2231
28.744,-66.04
28.745,-66.1011
28.746,-66.1926
28.747,-66.1926
28.748,-66.0706
28.749,-66.1926
28.75,-66.1316
28.751,-66.04
28.752,-66.1621
28.753,-66.0706
28.754,-66.1011
28.755,-66.1316
28.756,-66.0706
28.757,-66.1621
28.758,-66.0706
28.759,-66.0706
28.76,-65.979
28.761,-66.0095
28.762,-66.0095
28.763,-66.1011
28.764,-65.9485
28.765,-66.04
28.766,-66.0095
28.767,-66.04
28.768,-66.1316
28.769,-66.1621
28.77,-66.0706
28.771,-66.04
28.772,-65.9485
28.773,-65.979
28.774,-65.918
28.775,-65.9485
28.776,-66.0706
28.777,-65.918
28.778,-65.918
28.779,-65.918
28.78,-65.7654
28.781,-66.0095
28.782,-65.918
28.783,-66.0095
28.784,-65.918
28.785,-65.918
28.786,-65.8264
28.787,-65.7959
28.788,-65.8569
28.789,-65.7654
28.79,-65.8264
28.791,-65.9485
28.792,-65.6738
28.793,-65.8264
28.794,-65.7654
28.795,-65.9485
28.796,-65.918
28.797,-65.7654
28.798,-65.8264
28.799,-65.8569
28.8,-65.8264
28.801,-66.0095
28.802,-65.8264
28.803,-65.8264
28.804,-65.8264
28.805,-65.8264
28.806,-65.7349
28.807,-65.6738
28.808,-65.8569
28.809,-65.918
28.81,-65.8264
28.811,-65.8264
28.812,-65.7654
28.813,-65.8569
28.814,-65.7654
28.815,-65.8569
28.816,-65.7043
28.817,-65.8569
28.818,-65.8569
28.819,-65.8569
28.82,-65.8875
28.821,-65.7654
28.822,-65.6128
28.823,-65.7043
28.824,-65.7349
28.825,-65.7959
28.826,-65.6128
28.827,-65.7654
28.828,-65.6433
28.829,-65.7349
28.83,-65.6128
28.831,-65.7043
28.832,-65.5518
28.833,-65.6128
28.834,-65.8264
28.835,-65.7043
28.836,-65.7043
28.837,-65.6433
28.838,-65.6738
28.839,-65.6128
28.84,-65.5212
28.841,-65.7959
28.842,-65.6433
28.843,-65.4297
28.844,-65.3687
28.845,-65.4907
28.846,-65.4602
28.847,-65.5212
28.848,-65.5518
28.849,-65.5823
28.85,-65.5823
28.851,-65.5518
28.852,-65.6738
28.853,-65.5823
28.854,-65.5518
28.855,-65.5518
28.856,-65.5518
28.857,-65.4907
28.858,-65.3992
28.859,-65.5518
28.86,-65.5212
28.861,-65.4602
28.862,-65.4297
28.863,-65.5212
28.864,-65.5823
28.865,-65.3992
28.866,-65.5518
28.867,-65.4907
28.868,-65.4602
28.869,-65.4907
28.87,-65.5212
28.871,-65.5212
28.872,-65.4602
28.873,-65.2771
28.874,-65.4602
28.875,-65.3381
28.876,-65.3076
28.877,-65.3076
28.878,-65.3381
28.879,-65.3687
28.88,-65.2466
28.881,-65.3992
28.882,-65.3992
28.883,-65.3381
28.884,-65.3992
28.885,-65.4297
28.886,-65.4297
28.887,-65.3687
28.888,-65.3381
28.889,-65.3992
28.89,-65.3076
28.891,-65.2466
28.892,-65.3381
28.893,-65.3076
28.894,-65.155
28.895,-65.2771
28.896,-65.3687
28.897,-65.2771
28.898,-65.2771
28.899,-65.2161
28.9,-65.3076
28.901,-65.3687
28.902,-65.2771
28.903,-65.155
28.904,-65.155
28.905,-65.3381
28.906,-65.2771
28.907,-65.155
28.908,-65.155
28.909,-65.155
28.91,-65.1245
28.911,-65.2161
28.912,-65.094
28.913,-65.1245
28.914,-65.094
28.915,-65.1855
28.916,-65.2161
28.917,-65.1855
28.918,-65.3687
28.919,-65.3076
28.92,-65.2771
28.921,-65.155
28.922,-65.1855
28.923,-65.2466
28.924,-65.0635
28.925,-65.1245
28.926,-64.9719
28.927,-65.0635
28.928,-65.094
28.929,-65.0024
28.93,-65.033
28.931,-65.033
28.932,-65.1245
28.933,-65.0635
28.934,-65.094
28.935,-65.033
28.936,-65.033
28.937,-65.155
28.938,-65.0635
28.939,-65.094
28.94,-65.0635
28.941,-64.9719
28.942,-65.0635
28.943,-64.8804
28.944,-65.0024
28.945,-64.9719
28.946,-65.033
28.947,-64.9109
28.948,-64.8804
28.949,-64.8804
28.95,-65.033
28.951,-64.9719
28.952,-64.9109
28.953,-65.0635
28.954,-64.9719
28.955,-64.7888
28.956,-64.9109
28.957,-64.9414
28.958,-64.8499
28.959,-64.9109
28.96,-64.7888
28.961,-64.8193
28.962,-64.8804
28.963,-64.8499
28.964,-64.7888
28.965,-64.8804
28.966,-64.9109
28.967,-64.9109
28.968,-64.7278
28.969,-64.9414
28.97,-64.8804
28.971,-64.8804
28.972,-64.8193
28.973,-64.8193
28.974,-64.7583
28.975,-64.7583
28.976,-64.7583
28.977,-64.8193
28.978,-64.7888
28.979,-64.7888
28.98,-64.7583
28.981,-64.7278
28.982,-64.7278
28.983,-64.8193
28.984,-64.7583
28.985,-64.7583
28.986,-64.8804
28.987,-64.8193
28.988,-64.6667
28.989,-64.6973
28.99,-64.7888
28.991,-64.7278
28.992,-64.6667
28.993,-64.6057
28.994,-64.7278
28.995,-64.7278
28.996,-64.5752
28.997,-64.6362
28.998,-64.7888
28.999,-64.5447
29,-64.7278
29.001,-64.6667
29.002,-64.6973
29.003,-64.7278
29.004,-64.6362
29.005,-64.6667
29.006,-64.5447
29.007,-64.5447
29.008,-64.6362
29.009,-64.4531
29.01,-64.6057
29.011,-64.4836
29.012,-64.5447
29.013,-64.5447
29.014,-64.5752
29.015,-64.5752
29.016,-64.6362
29.017,-64.4836
29.018,-64.6362
29.019,-64.5447
29.02,-64.5142
29.021,-64.4531
29.022,-64.5142
29.023,-64.5447
29.024,-64.6057
29.025,-64.4836
29.026,-64.4531
29.027,-64.4226
29.028,-64.5142
29.029,-64.3616
29.03,-64.5142
29.031,-64.4836
29.032,-64.6057
29.033,-64.3311
29.034,-64.5142
29.035,-64.5142
29.036,-64.4226
29.037,-64.5142
29.038,-64.5142
29.039,-64.3921
29.04,-64.3616
29.041,-64.3311
29.042,-64.4836
29.043,-64.4531
29.044,-64.3616
29.045,-64.3921
29.046,-64.4531
29.047,-64.3616
29.048,-64.3311
29.049,-64.3921
29.05,-64.4836
29.051,-64.3311
29.052,-64.4226
29.053,-64.4836
29.054,-64.3005
29.055,-64.3616
29.056,-64.3005
29.057,-64.3311
29.058,-64.3005
29.059,-64.1785
29.06,-64.3005
29.061,-64.27
29.062,-64.3311
29.063,-64.209
29.064,-64.1479
29.065,-64.3616
29.066,-64.3921
29.067,-64.27
29.068,-64.3616
29.069,-64.3616
29.07,-64.27
29.071,-64.27
29.072,-64.2395
29.073,-64.209
29.074,-64.209
29.075,-64.1785
29.076,-64.27
29.077,-64.2395
29.078,-64.209
29.079,-64.0564
29.08,-64.1785
29.081,-64.27
29.082,-64.1785
29.083,-64.209
29.084,-64.1174
29.085,-64.27
29.086,-64.27
29.087,-64.1785
29.088,-64.1785
29.089,-64.1479
29.09,-64.0869
29.091,-64.209
29.092,-64.1174
29.093,-64.1785
29.094,-64.0564
29.095,-64.0259
29.096,-64.0259
29.097,-64.1174
29.098,-64.1479
29.099,-64.1479
29.1,-64.0564
29.101,-64.1479
29.102,-64.1174
29.103,-64.0869
29.104,-64.0869
29.105,-64.1479
29.106,-64.0869
29.107,-64.1174
29.108,-64.0259
29.109,-64.0869
29.11,-63.9954
29.111,-63.9343
29.112,-63.9038
29.113,-64.0259
29.114,-64.1174
29.115,-63.9343
29.116,-64.0564
29.117,-64.209
29.118,-64.0564
29.119,-63.9648
29.12,-63.9954
29.121,-64.0869
29.122,-64.0564
29.123,-63.9343
29.124,-63.9648
29.125,-63.9648
29.126,-63.9038
29.127,-63.2629
29.128,-61.4929
29.129,-54.9011
29.13,28.7476
29.131,48.7061
29.132,44.9524
29.133,44.1284
29.134,44.0063
29.135,43.9453
29.136,44.0369
29.137,44.1284
29.138,44.342
29.139,44.4946
29.14,44.6167
29.141,44.7998
29.142,45.0134
29.143,45.3491
29.144,45.3491
29.145,45.4102
29.146,45.5017
29.147,45.4407
29.148,45.5933
29.149,45.5933
29.15,45.4102
29.151,45.5322
29.152,45.5322
29.153,45.5322
29.154,45.5627
29.155,45.5017
29.156,45.3186
29.157,45.2271
29.158,45.3491
29.159,45.166
29.16,44.9829
29.161,44.9829
29.162,44.8303
29.163,44.5557
29.164,44.4336
29.165,44.4946
29.166,43.9758
29.167,43.9148
29.168,43.8232
29.169,43.7012
29.17,43.6096
29.171,43.3655
29.172,43.3655
29.173,43.1519
29.174,42.9688
29.175,42.8772
29.176,42.572
29.177,42.5415
29.178,42.2974
29.179,41.9617
29.18,41.9617
29.181,41.687
29.182,41.3513
29.183,41.3818
29.184,41.1377
29.185,40.802
29.186,40.6799
29.187,40.4663
29.188,40.3442
29.189,40.0696
29.19,39.8865
29.191,39.7034
29.192,39.3372
29.193,39.3982
29.194,39.093
29.195,39.0015
29.196,38.7268
29.197,38.4521
29.198,38.269
29.199,37.9028
29.2,37.9028
29.201,37.5977
29.202,37.4146
29.203,37.1399
29.204,36.9263
29.205,36.8042
29.206,36.499
29.207,36.2549
29.208,36.0718
29.209,35.8582
29.21,35.7971
29.211,35.4309
29.212,35.1868
29.213,35.0037
29.214,34.729
29.215,34.6069
29.216,34.3628
29.217,34.1492
29.218,33.8745
29.219,33.5083
29.22,33.2336
29.221,33.0811
29.222,32.7759
29.223,32.6233
29.224,32.3486
29.225,32.196
29.226,31.7383
29.227,31.5857
29.228,31.3416
29.229,31.189
29.23,30.8228
29.231,30.4871
29.232,30.365
29.233,30.0293
29.234,29.7852
29.235,29.541
29.236,29.2664
29.237,28.9917
29.238,28.7476
29.239,28.5645
29.24,28.0762
29.241,27.8625
29.242,27.5879
29.243,27.2522
29.244,26.947
29.245,26.6724
29.246,26.3672
29.247,26.0925
29.248,25.7263
29.249,25.4517
29.25,25.0244
29.251,24.6887
29.252,24.2615
29.253,24.0479
29.254,23.6816
29.255,23.3154
29.256,23.0713
29.257,22.6135
29.258,22.4609
29.259,22.1558
29.26,21.8811
29.261,21.5149
29.262,20.9351
29.263,20.5688
29.264,20.1721
29.265,19.7144
29.266,19.4397
29.267,18.9209
29.268,18.5242
29.269,18.0664
29.27,17.7002
29.271,17.4866
29.272,16.8762
29.273,16.6321
29.274,15.8997
29.275,15.5334
29.276,15.0757
29.277,14.6179
29.278,14.0991
29.279,13.4277
29.28,12.97
29.281,12.3596
29.282,11.8408
29.283,11.2915
29.284,10.6506
29.285,10.0708
29.286,9.3689
29.287,8.81958
29.288,8.05664
29.289,7.47681
29.29,6.83594
29.291,5.95093
29.292,5.15747
29.293,4.48608
29.294,3.66211
29.295,2.68555
29.296,1.86157
29.297,0.88501
29.298,-0.183105
29.299,-1.25122
29.3,-2.31934
29.301,-3.2959
29.302,-4.76074
29.303,-5.92041
29.304,-7.08008
29.305,-8.54492
29.306,-9.82666
29.307,-10.9863
29.308,-12.7258
29.309,-14.0991
29.31,-15.4419
29.311,-17.1204
29.312,-18.8293
29.313,-20.6604
29.314,-22.1558
29.315,-24.231
29.316,-25.9094
29.317,-27.8625
29.318,-29.7852
29.319,-31.8298
29.32,-33.6914
29.321,-35.7056
29.322,-37.5977
29.323,-39.5813
29.324,-41.3818
29.325,-43.3655
29.326,-45.166
29.327,-46.875
29.328,-48.5535
29.329,-50.0488
29.33,-51.6968
29.331,-52.948
29.332,-54.2297
29.333,-55.542
29.334,-56.6711
29.335,-57.6172
29.336,-58.4412
29.337,-59.3872
29.338,-60.1501
29.339,-60.6689
29.34,-61.2793
29.341,-61.8896
29.342,-62.3779
29.343,-62.8052
29.344,-63.1409
29.345,-63.5376
29.346,-63.9648
29.347,-64.27
29.348,-64.5142
29.349,-64.6667
29.35,-65.033
29.351,-65.3076
29.352,-65.4907
29.353,-65.6128
29.354,-65.8264
29.355,-65.918
29.356,-66.04
29.357,-66.1316
29.358,-66.3452
29.359,-66.3757
29.36,-66.4673
29.361,-66.5588
29.362,-66.7114
29.363,-66.7725
29.364,-66.7725
29.365,-66.9861
29.366,-67.0776
29.367,-67.1387
29.368,-67.0471
29.369,-67.2302
29.37,-67.4133
29.371,-67.1997
29.372,-67.3523
29.373,-67.4438
29.374,-67.4438
29.375,-67.4438
29.376,-67.5659
29.377,-67.4438
29.378,-67.4744
29.379,-67.5659
29.38,-67.5354
29.381,-67.627
29.382,-67.627
29.383,-67.7185
29.384,-67.7185
29.385,-67.8406
29.386,-67.7795
29.387,-67.7795
29.388,-67.8101
29.389,-67.7795
29.39,-67.7185
29.391,-67.8101
29.392,-67.7185
29.393,-67.6575
29.394,-67.7185
29.395,-67.9321
29.396,-67.8101
29.397,-67.8101
29.398,-68.0237
29.399,-68.0237
29.4,-68.0237
29.401,-67.9932
29.402,-68.0542
29.403,-68.0237
29.404,-68.1152
29.405,-68.1458
29.406,-68.0237
29.407,-67.9626
29.408,-67.8711
29.409,-68.0542
29.41,-68.0237
29.411,-68.0237
29.412,-68.0237
29.413,-68.0542
29.414,-68.0237
29.415,-68.1152
29.416,-68.1763
29.417,-68.2678
29.418,-68.2068
29.419,-68.0542
29.42,-68.1458
29.421,-68.1458
29.422,-68.2068
29.423,-68.1763
29.424,-68.0847
29.425,-68.1152
29.426,-68.0847
29.427,-68.1763
29.428,-68.1458
29.429,-68.0847
29.43,-68.0542
29.431,-68.1458
29.432,-68.2068
29.433,-68.3594
29.434,-68.2678
29.435,-68.1152
29.436,-68.3899
29.437,-68.2373
29.438,-68.2068
29.439,-68.2678
29.44,-68.2678
29.441,-68.4204
29.442,-68.2068
29.443,-68.2678
29.444,-68.2678
29.445,-68.0847
29.446,-68.2373
29.447,-68.2373
29.448,-68.1458
29.449,-68.2373
29.45,-68.2678
29.451,-68.2678
29.452,-68.3594
29.453,-68.3594
29.454,-68.2068
29.455,-68.1763
29.456,-68.3899
29.457,-68.2678
29.458,-68.2983
29.459,-68.2983
29.46,-68.3289
29.461,-68.1458
29.462,-68.3289
29.463,-68.3594
29.464,-68.2678
29.465,-68.2983
29.466,-68.2068
29.467,-68.2678
29.468,-68.2983
29.469,-68.4204
29.47,-68.3594
29.471,-68.3594
29.472,-68.2373
29.473,-68.2068
29.474,-68.3289
29.475,-68.3594
29.476,-68.1152
29.477,-68.2373
29.478,-68.2373
29.479,-68.2373
29.48,-68.2373
29.481,-68.3289
29.482,-68.3289
29.483,-68.4204
29.484,-68.3289
29.485,-68.3594
29.486,-68.2068
29.487,-68.3594
29.488,-68.3899
29.489,-68.2983
29.49,-68.2373
29.491,-68.1458
29.492,-68.2678
29.493,-68.3289
29.494,-68.1763
29.495,-68.1763
29.496,-68.2983
29.497,-68.1763
29.498,-68.1763
29.499,-68.2373
29.5,-68.2983
29.501,-68.2068
29.502,-68.2678
29.503,-68.2678
29.504,-68.1763
29.505,-68.2983
29.506,-68.1763
29.507,-68.2068
29.508,-68.2373
29.509,-68.2678
29.51,-68.1152
29.511,-68.1763
29.512,-68.2983
29.513,-68.2678
29.514,-68.2983
29.515,-68.2983
29.516,-68.2068
29.517,-68.2068
29.518,-68.2983
29.519,-68.3594
29.52,-68.2678
29.521,-68.3594
29.522,-68.2983
29.523,-68.1458
29.524,-68.1458
29.525,-68.1458
29.526,-68.1763
29.527,-68.2983
29.528,-68.1152
29.529,-68.2068
29.53,-68.1152
29.531,-68.2068
29.532,-68.1152
29.533,-68.2983
29.534,-68.3594
29.535,-68.1458
29.536,-68.2983
29.537,-68.2373
29.538,-68.1458
29.539,-68.2068
29.54,-68.3289
29.541,-68.2068
29.542,-68.1763
29.543,-68.1763
29.544,-68.2373
29.545,-68.1458
29.546,-68.2068
29.547,-68.1763
29.548,-68.2373
29.549,-68.2068
29.55,-68.1458
29.551,-68.2068
29.552,-68.2678
29.553,-68.1458
29.554,-68.2983
29.555,-68.2678
29.556,-68.2068
29.557,-68.1458
29.558,-68.2373
29.559,-68.2068
29.56,-68.0847
29.561,-68.0542
29.562,-68.1458
29.563,-68.0237
29.564,-68.1763
29.565,-68.0847
29.566,-68.2983
29.567,-68.1763
29.568,-68.2678
29.569,-68.2983
29.57,-68.2068
29.571,-68.1458
29.572,-68.0542
29.573,-68.2373
29.574,-68.0542
29.575,-68.2373
29.576,-68.2068
29.577,-68.1458
29.578,-68.0237
29.579,-68.1152
29.58,-68.1763
29.581,-68.0847
29.582,-68.1458
29.583,-68.0237
29.584,-68.2068
29.585,-68.1763
29.586,-68.2983
29.587,-68.2068
29.588,-68.1152
29.589,-67.9321
29.59,-68.1458
29.591,-68.0237
29.592,-67.9626
29.593,-68.1152
29.594,-67.9932
29.595,-68.0847
29.596,-68.0542
29.597,-67.9932
29.598,-68.0542
29.599,-68.0847
29.6,-68.0847
29.601,-68.0237
29.602,-68.0237
29.603,-68.0237
29.604,-67.9932
29.605,-68.0237
29.606,-67.9626
29.607,-68.0542
29.608,-68.0542
29.609,-68.0237
29.61,-67.9321
29.611,-67.8406
29.612,-67.8711
29.613,-67.9016
29.614,-67.9626
29.615,-67.9626
29.616,-67.9932
29.617,-67.9016
29.618,-67.9932
29.619,-67.9626
29.62,-67.9321
29.621,-67.8101
29.622,-68.0237
29.623,-67.9016
29.624,-68.0847
29.625,-67.9321
29.626,-67.749
29.627,-67.7795
29.628,-67.749
29.629,-67.8406
29.63,-67.9321
29.631,-67.8711
29.632,-67.9321
29.633,-67.9016
29.634,-67.8711
29.635,-67.8711
29.636,-67.8711
29.637,-67.9016
29.638,-67.7185
29.639,-67.9321
29.64,-67.8101
29.641,-67.9932
29.642,-67.7795
29.643,-67.8406
29.644,-67.7795
29.645,-67.8406
29.646,-67.6575
29.647,-67.8711
29.648,-67.8711
29.649,-67.8406
29.65,-67.7795
29.651,-67.9016
29.652,-67.9016
29.653,-67.8406
29.654,-67.7795
29.655,-67.9321
29.656,-67.7795
29.657,-67.8101
29.658,-67.8101
29.659,-67.627
29.66,-67.688
29.661,-67.627
29.662,-67.6575
29.663,-67.7795
29.664,-67.749
29.665,-67.9016
29.666,-67.8101
29.667,-67.749
29.668,-67.5964
29.669,-67.749
29.67,-67.688
29.671,-67.6575
29.672,-67.749
29.673,-67.688
29.674,-67.749
29.675,-67.688
29.676,-67.6575
29.677,-67.5659
29.678,-67.5659
29.679,-67.688
29.68,-67.749
29.681,-67.7185
29.682,-67.7185
29.683,-67.749
29.684,-67.749
29.685,-67.7185
29.686,-67.749
